[ INFO | main.py: 24] 2020-06-28 20:53:20,475 > GET donwload url from page 0...
[ INFO | main.py: 24] 2020-06-28 20:53:21,361 > GET donwload url from page 1...
[ INFO | main.py: 24] 2020-06-28 20:53:22,095 > GET donwload url from page 2...
[ INFO | main.py: 24] 2020-06-28 20:53:22,833 > GET donwload url from page 3...
[ INFO | main.py: 24] 2020-06-28 20:53:23,606 > GET donwload url from page 4...
[ INFO | main.py: 24] 2020-06-28 20:53:24,384 > GET donwload url from page 5...
[ INFO | main.py: 24] 2020-06-28 20:53:25,124 > GET donwload url from page 6...
[ INFO | main.py: 24] 2020-06-28 20:53:25,857 > GET donwload url from page 7...
[ INFO | main.py: 24] 2020-06-28 20:53:26,847 > GET donwload url from page 8...
[ INFO | main.py: 24] 2020-06-28 20:53:27,610 > GET donwload url from page 9...
[ INFO | main.py: 24] 2020-06-28 20:53:28,387 > GET donwload url from page 10...
[ INFO | main.py: 24] 2020-06-28 20:53:29,164 > GET donwload url from page 11...
[ INFO | main.py: 24] 2020-06-28 20:53:29,937 > GET donwload url from page 12...
[ INFO | main.py: 33] 2020-06-28 20:53:30,537 > Success to get download urls[189].
[ INFO | main.py: 85] 2020-06-28 20:53:30,612 > Downloading [폭행] 실내(원본)_01.zip from http://www.aihub.or.kr/file/2338/download?token=xVNtRaj9
